,,,# of traces,,,,,,,,,,,,,,
# of bits,# of shares,noise,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576
32,1,0,7.10,17.32,54.61,93.05,100.00,,,,,,,,,,
,,4,2.97,4.98,9.19,27.98,72.80,98.73,100.00,,,,,,,,
,,8,,2.30,3.49,6.04,14.20,42.75,89.62,99.75,,,,,,,
,,16,,,,2.45,3.59,6.95,17.09,49.77,91.69,99.64,,,,,
,,32,,,,,2.01,2.82,4.19,6.73,17.21,50.99,92.63,99.97,,,
,,64,,,,,,,,2.56,3.88,7.01,15.95,50.05,91.96,100.00,
,,128,,,,,,,,,,2.70,3.86,7.05,16.44,52.27,92.15
,2,0,,,,,2.80,3.85,7.21,16.97,51.94,93.29,99.81,,,,
,,4,,,,,,,2.69,3.92,6.52,17.41,50.99,92.42,99.86,,
,,8,,,,,,,,,2.12,2.91,4.95,9.04,25.48,69.71,97.32
,,16,,,,,,,,,,,,,2.48,3.71,6.19
,3,0,,,,,,,,,,,2.51,3.55,6.19,14.79,45.25
,,4,,,,,,,,,,,,,2.27,3.21,5.38
64,1,0,2.15,3.59,8.74,33.44,88.13,99.94,,,,,,,,,
,,4,,2.02,3.77,8.75,33.01,86.85,99.89,,,,,,,,
,,8,,,,3.00,6.38,20.08,71.19,98.75,100.00,,,,,,
,,16,,,,,,3.23,7.75,27.15,82.27,99.82,,,,,
,,32,,,,,,,2.02,3.42,8.50,31.45,84.40,99.85,,,
,,64,,,,,,,,,2.05,3.65,8.75,30.78,85.81,99.72,
,,128,,,,,,,,,,,2.07,3.58,8.47,32.04,85.80
,2,0,,,,,,,,2.04,3.36,8.69,31.71,87.02,99.82,,
,,4,,,,,,,,,,3.28,7.07,25.13,78.38,99.47,
,,8,,,,,,,,,,,,3.31,7.40,25.23,78.48
,,16,,,,,,,,,,,,,,,2.91
