,,,# of traces,,,,,,,,,,,,,,
# of bits,# of shares,noise,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576
32,1,0,63.28,76.93,92.90,99.17,100.00,,,,,,,,,,
,,4,53.24,58.57,67.80,83.77,96.36,99.87,100.00,,,,,,,,
,,8,,52.07,55.22,61.64,73.47,89.50,98.77,99.98,,,,,,,
,,16,,,,52.74,56.10,62.58,75.91,91.40,99.06,99.96,,,,,
,,32,,,,,51.32,52.99,55.81,63.12,76.22,91.75,99.14,100.00,,,
,,64,,,,,,,,52.38,55.84,62.89,75.68,91.66,99.04,100.00,
,,128,,,,,,,,,,52.61,55.96,62.60,75.40,91.95,99.12
,2,0,,,,,52.60,56.09,63.24,76.48,92.10,99.18,99.99,,,,
,,4,,,,,,,53.05,56.23,62.74,76.15,91.84,99.16,99.99,,
,,8,,,,,,,,,51.62,53.64,57.78,66.38,82.27,95.76,99.70
,,16,,,,,,,,,,,,,52.28,55.10,60.83
,3,0,,,,,,,,,,,52.24,55.37,61.92,73.68,90.00
,,4,,,,,,,,,,,,,52.13,54.68,59.97
64,1,0,55.95,62.75,76.34,91.88,99.28,100.00,,,,,,,,,
,,4,,55.66,62.88,76.09,92.15,99.17,100.00,,,,,,,,
,,8,,,,59.74,71.05,87.03,98.02,99.93,100.00,,,,,,
,,16,,,,,,61.10,74.08,90.32,98.81,99.99,,,,,
,,32,,,,,,,55.42,62.71,75.35,91.38,99.03,99.99,,,
,,64,,,,,,,,,55.59,62.77,76.12,91.62,99.13,99.99,
,,128,,,,,,,,,,,55.79,62.53,76.11,91.49,99.17
,2,0,,,,,,,,55.91,62.94,76.00,91.58,99.20,99.99,,
,,4,,,,,,,,,,60.89,73.00,89.28,98.57,99.97,
,,8,,,,,,,,,,,,60.90,72.60,89.49,98.57
,,16,,,,,,,,,,,,,,,59.63
